comp408 85% (NIS)
comp409 100% (*Br2*)
comp411 *Br2Me2*-hydantion, 100%
comp412 32% (NBS)
comp413 41% (NBS)
comp414 80% (NBS)
comp415 70% (*Br2*)
comp416 56% (NBS)
comp417 95% (NBS)
comp418 84% (*Br2*)
comp420 85% (NBS)
comp421 95% (NCS)
comp423 70% (NCS)
comp424 39% (NCS)
comp425 98% (NCS)
comp426 82% (NCS)
comp427 74% (NBS)
comp428 50% (NIS)
comp429 96% (NBS), 100% (NCS)
comp430 60% (NBS)
comp431 70% (NBS)
comp433 12, 94%
comp434 85% (NBS)
comp435 85% (NBS)
comp437 75% (NBS)
comp438 43% (NBS)
comp439 72% (*Br2*)
comp440 43% (NBS)
comp441 45% (NCS)
comp442 66% (*Br2*)
comp443 48% (NCS)
comp444 45% (NBS)
comp445 77% (*Br2*)
comp446 2xBr 65%, NBSD
comp447 46% (*Br2*)
comp448 51% (*Br2*)
comp449 77% (NCS)
comp450 84% (NCS)
comp451 95% (NCS)
comp452 72% (NBS)
comp453 71% (NBS)
comp454 68% (*Br2*)
comp455 53% (NBS)
comp456 68% (*Br2*)
comp457 93% (*Br2*)
comp458 84% (*Br2*)
comp459 86% (*Br2*)
comp460 2xBr 99% (*Br2*)
comp461 66% (*Br2*)
comp462 54% (*Br2*)
comp463 68% (NBS)
comp464 68% (NBS)
comp465 69% (*Br2*)
comp466 92% (*Br2*)
comp467 78% (NBS)
comp468 84% (*Br2*)
comp469 86% (*Br2*)
comp470 3xBr 76% (*Br2*),2xBr (2+3 positions), 84% (*Br2*)
comp471 2xBr 92% (NBS), 67% (96:4) mono-O over mono-S
comp472 65% (NBS)
comp473 90% (*Br2*)
comp474 50% (*Br2*)
comp475 99% (NCS)
comp476 80% (NBS)
comp477 92% (NBS)
comp478 2xBr 70% (NBS)
comp479 58% (*Br2*)
comp480 57% (*Br2*)
comp481 85% (*Br2*)
comp482 12, 68%
comp483 86% (NBS)
comp484 43% (NBS)
comp485 50% (NBS)
comp486 12, 76%
comp487 80% (*Br2*)
comp488 91% (NBS)
comp489 93% (NBS)
comp490 98% (NBS)
comp492 2xBr 96% (NBS)
comp493 91% (NBS), 91% (NBS)
comp494 84% (NBS)
comp495 96% (NBS)
comp496 C12 96%
comp497 Cl2 82% 3-pos + 6-pos 8%
comp498 60% (NBS)
comp499 56% (NBS)
comp500 91% (NBS)
comp501 99% (NBS)
comp502 96% (NBS)
comp503 86% (NBS)
comp504 74% (*Br2*)
comp505 ortho + para 90% (*Br2*), para 98% (NBS), 3xBr 97% (*Br2*)
comp508 98% (NBS)
comp509 75% (NBS)
comp510 96% (NBS)
comp511 83% (NBS)
comp512 81% (*Br2*)
comp514 2xCl 55% (AcOH/*SO2Cl2*)
comp515 2xCl 55% (AcOH/*SO2Cl2*)
comp516 59% (NBS)
comp517 86% (NBS)
comp518 92% (NBS)
comp519 90% (NBS)
comp520 90% (NBS)
comp521 98% (NBS)
comp522 99% (NBS)
comp523 92% (NBS)
comp524 92% (NBS)
comp526 92% (NBS), 92% (NBS)
comp528 74% (NBS)
comp529 2xBr 98% (NBS)
comp530 64% (NBS)
comp531 74% (NBS)
comp532 95% (NBS)
comp533 92% (NBS)
comp534 71% (NBS)
comp535 94% (NBS)
comp536 69% (NBS)
comp537 2xBr 77% (NBS)
comp538 98% (NBS)
comp539 62% (NBS)
comp540 95% (NBS)
comp541 85% (NBS)
comp542 74% (NBS)
comp543 100% (NBS)
comp544 70% (NBS)
comp545 2xBr 91% (NBS), 2xBr 78% (NBS)
comp546 79% (NBS)
comp547 79% (NBS)
comp548 90% (NBS)
comp549 83% (NBS)
comp550 99% (NBS)
comp551 87% (NBS)
comp552 100% (NBS)
comp553 91% (NBS)
comp554 99% (NBS)
comp555 96% (NBS)
comp556 2xBr 92% (NBS)
comp557 83% (NBS)
comp558 75% (NBS)
comp559 75% (NBS)
comp560 90% (NBS)
comp561 1xBr (1:1) 73% (NBS)
comp562 85% (NBS)
comp563 95% (NBS)
comp564 91% (NBS)
comp565 2xBr 77% (NBS)
comp566 74% (NBS)
comp567 96% (NBS)
comp568 94% (NBS)
comp569 67% (NBS)
comp570 83% (NBS)
comp571 3xBr 89% (NBS)
comp572 2xBr 90% (NBS), 1xBr 80% (NBS)
comp573 2xBr 96% (NBS)
comp575 96% (NBS)
comp576 96% (NBS)
comp577 92% (NBS)
comp578 73% (NBS)
comp579 72% (NBS)
comp580 84% (NBS)
comp581 93% (NBS), 76% (NBS)
comp582 53% (NBS)
comp583 91% (NBS)
comp584 86% (NBS)
comp585 84% (NCS)
comp586 73% (NBS)
comp587 64% (NBS)
comp588 91% (*Br2*)
comp593	70% (*Br2*)
comp594	93% (NBS)
comp595	54% (NCS)
comp596	94% (NCS)
comp597	83% (*Br2*)
comp598	55% (NCS)
comp599 75% (NCS), 83% (NBS), 50% (NIS)
comp600 81% (NCS)
comp601 96% (NCS)
